time,_dt,strain_zx_interface,stres_xx_interface,stres_xy_interface,stres_yy_interface,stres_yz_interface,stres_zz_interface,stress_zx_interface
0.9,0,0,0,0,0,0,0,0
0.91,0.01,1.6462043633859e-08,2377.6305969676,0.45031481349982,2432.0324222019,-1.8357830777416,1967.3644639411,-0.046462369453288
0.92,0.01,1.4271087914679e-08,1793.4763368658,0.10473411493092,1855.7439196496,0.081872226047038,1967.9505359178,-0.025457108945394
0.93,0.01,1.2762264263793e-08,1688.2881687051,0.085858561411706,1720.5012664243,0.06796133324019,1967.9050796046,-0.031716606812888
0.94,0.01,1.1510490580565e-08,1626.5735191711,0.070321747586467,1637.3122983907,0.0020173604695262,1967.8457232912,-0.046445736610337
0.95,0.01,1.2042275854301e-08,1591.6855903759,0.06264754707099,1584.0415143987,0.50920398035615,1967.6628082792,0.017181288801333
0.96,0.01,1.120559483967e-08,1565.3498523225,0.056001676655816,1544.9874564415,0.023698953578874,1967.9183848089,-0.026148778282947
0.97,0.01,9.6330184596573e-09,1542.4711852921,0.053186112352016,1513.7883294243,0.10267002617165,1967.7779526722,-0.082480011207497
0.98,0.01,9.3752161735215e-09,1521.8618306767,0.050352889218528,1487.8900131982,0.057434417739424,1967.8421791039,-0.069091431645519
1,0.02,3.2096418072229e-07,1495.2900893243,0.047918494621052,1460.4700036677,0.019322995336257,1962.5667200688,13.673114882582
1.01,0.01,4.1595243380715e-06,1486.1686810642,0.039268044995368,1450.3985348459,0.3200677989561,1973.3658023271,181.78441238883
1.02,0.01,2.1923577420093e-05,1541.1472906434,0.045042413164377,1498.7926220774,-0.25613485007467,1965.850732998,660.1180248229
1.03,0.01,0.00011262747672462,1869.4712971067,-0.33132643861243,1844.6414787575,1.026747002737,1963.4802995389,1270.7840395653
1.04,0.01,0.00050327215238704,1935.9551116967,-0.24560609294904,2033.7266427355,-2.4563537114736,1964.2575185955,1386.794462405
1.05,0.01,0.0011256669410056,1894.1718373659,0.3300694941659,2075.9039756213,-4.710972528535,1977.5135867986,1380.3125966346
1.06,0.01,0.0017503357191886,1875.3998324583,1.0060091658296,2057.2786751617,-2.3394061159836,1955.447398529,1376.4018248532
1.07,0.01,0.002391065314835,1842.6984138493,0.057227786636351,2047.3493834661,0.76454132144112,1968.8688469186,1378.0097492138
1.08,0.01,0.0030155880651238,1840.8301610561,-0.59057915631681,2015.8311613036,2.2955054100902,1969.7704771828,1378.0215763718
1.09,0.01,0.0035193573676225,1832.7646678528,-0.028171744022664,1994.7395510901,-1.3328693779472,1965.2065926612,1387.2767483367
1.1,0.01,0.0038586735284026,1803.1918704172,0.025738558312717,1966.6262046221,-2.321582018306,1970.6856715985,1381.1886152651
1.11,0.01,0.0040128316964372,1755.5217546327,0.15991373998741,1875.8530007651,2.877239017854,1970.4827215672,1386.0976598037
1.12,0.01,0.0040157461175862,1262.7183611238,0.25014418320022,1506.3890476576,0.50107411018986,1970.1949855101,1062.2480939052
1.13,0.01,0.0040080904243257,844.48573405765,1.0483343267728,1257.2434964978,-5.0406270731021,1966.4399955755,-1.8354171590702
1.14,0.01,0.003888602919218,1555.368137171,0.68670105656085,1637.8689202892,-6.7932041522941,1975.1893348274,-1265.5434818664
1.15,0.01,0.0030974556950229,1808.6390263846,-0.56092387988554,1949.0906346867,3.236823633834,1955.3597649375,-1377.7490831796
1.16,0.01,0.001822024862128,1748.8250795199,0.59832420717928,1937.220118385,2.1624716161237,1988.8906302232,-1364.9760751677
1.17,0.01,0.00047922174704547,1749.8413496896,-0.13127279121555,1923.8079486822,-7.4829747263786,1953.1367919291,-1370.2905465828
1.18,0.01,-0.0011432163888101,1625.8150713631,-1.6436311303119,1849.4065906523,-8.3174904237668,1977.3292698016,-1324.523630073
1.19,0.01,-0.0028837616803305,1735.0269230555,-0.04238042661594,1905.8885838417,-6.3877396218018,1963.5555235033,-1364.9938416955
1.2,0.01,-0.0046952515632854,1619.3129083061,-3.9464929640775,1854.0704647254,-3.2073848244264,1979.6069281851,-1336.0035954342
1.21,0.01,-0.0064514354905542,1670.1336025885,-1.1376591993987,1871.0793137126,-11.319816498992,1956.8259907731,-1359.6740042197
1.22,0.01,-0.0081317737146765,1575.2645708955,-5.2173472266477,1830.4327751589,-6.3366545497308,1988.8313775802,-1334.6379364613
1.23,0.01,-0.0096573197565046,1610.6757156484,-6.3755207622382,1806.7256363728,-11.113192867764,1934.582479124,-1356.3128524627
1.24,0.01,-0.010847983373926,1618.6882362636,-1.9614361049156,1866.6894913686,-2.1391077381543,1984.5796743321,-1358.6206520749
1.25,0.01,-0.011702157970914,1639.2230183407,-0.99858644261014,1808.6149930459,-8.900673601807,1946.7436798484,-1366.9790024205
1.26,0.01,-0.012157819296975,1754.658823747,0.74057121523876,1912.9236570465,2.7652836025096,1994.0675372438,-1387.7913137459
1.27,0.01,-0.012194036465753,1469.1838750902,-0.63889408407777,1622.34688952,2.0687120423527,1950.6824661904,-1354.9207790551
1.28,0.01,-0.012174186179479,940.14903780848,0.24885635742117,1291.2621852489,-1.7624300727974,1980.9363404242,423.99240370077
1.29,0.01,-0.01173166121011,1816.7014605822,-0.12038877246131,1878.4549151433,2.0026101203373,1962.7134644943,1377.9404717165
1.3,0.01,-0.010165521954748,1689.121453501,10.956746522997,1839.6391724374,4.7653904019249,1988.3135574783,1363.1529883264
1.31,0.01,-0.0080644905516541,1740.5787091666,4.1910354683613,1784.8409163131,11.57788661699,1940.5621322399,1375.280434495
1.32,0.01,-0.0057205774334707,1601.6234199444,2.8684970189855,1788.0375794059,7.6677811541205,1983.3838180641,1345.7351418911
1.33,0.01,-0.0029605923420014,1500.0041005429,-0.30078003776459,1671.8051841374,10.322548089872,1948.2176238515,1309.8803499674
1.34,0.01,0.00015283087982072,1684.2848225296,3.1642439355299,1838.7483794696,10.683311638443,2004.7362512991,1359.790385299
1.35,0.01,0.0033725496435021,1618.7713627653,3.3132830962391,1681.5251459367,9.1029377314369,1959.709547785,1311.85211323
1.36,0.01,0.0065320909839726,1572.8999916897,-4.5691080709903,1755.7860880211,6.3350118186433,1956.7753380523,1347.3396310653
1.37,0.01,0.0097437489655365,1543.4103799524,-11.794628935235,1697.8056344315,-18.764905168891,1949.1949359204,1331.6017359738
1.38,0.01,0.012725838519976,1683.67867858,1.3995116978532,1856.3535954004,15.134828025938,1986.8612898678,1374.1458928116
1.39,0.01,0.015303945460875,1485.0563199219,-0.91511108157047,1655.1000278088,1.9953951001275,1957.1265307693,1280.3569883697
1.4,0.01,0.01740850075094,1719.9519853675,2.563413913321,1834.7155418528,11.997609471982,1995.3564398806,1381.2171580521
1.41,0.01,0.019041843594539,1619.2095598493,-8.8481475175648,1689.8828424737,10.02549261535,1970.7905051071,1334.2580161827
1.415,0.005,0.01963107046422,1822.2119273642,-2.0134152790762,1873.4250869734,14.071199991601,1932.6264773704,1399.4502080098
1.425,0.01,0.020030962682207,1769.002600462,0.95441180336806,1866.0605868231,-10.561511113838,2016.5855091622,1389.077153766
1.435,0.01,0.020031618128879,1051.8759111955,2.8245326283915,1367.1648846665,3.7446535776485,1923.2214639892,893.67059286728
1.445,0.01,0.019896333476453,1544.3885570308,-1.0806535479171,1685.4739020566,-0.53913832027657,2002.9139795507,-1270.7921589062
1.45,0.005,0.019373550566795,1460.5025488454,0.48172864244133,1530.969423992,8.5580487645172,1945.26441156,-1314.7038182567
1.46,0.01,0.016963606513788,1780.1531426345,-9.9597663993947,1856.6593016088,1.6758356260306,2015.7017064371,-1376.4494623422
1.47,0.01,0.014191284114653,1631.1196664698,-8.6328089365415,1679.1650651641,-12.9238511668,1917.9120002233,-1353.6402680105
1.48,0.01,0.01081786327159,1484.1268519948,-11.136547364315,1674.7390141463,-0.79349086931516,1995.953396877,-1281.3504522809
1.49,0.01,0.0066520475556172,1781.1779688082,-8.9010036484216,1786.2956399592,-8.3042254457171,1946.2395127934,-1382.8429977571
1.5,0.01,0.0022443501908339,1507.9949275347,-23.729730053536,1878.5636802089,-12.811376852815,2027.0701284222,-1303.7291940712
1.51,0.01,-0.0023519121829977,1587.6814886698,-4.6376546653141,1620.6610098627,-8.4386721219005,1913.9888625839,-1306.8538959738
1.52,0.01,-0.0071586037852058,1720.3559830019,-11.076719427,1859.7495766165,22.622112303086,2033.2575632709,-1359.5043635538
1.53,0.01,-0.011927580102713,1640.8313671754,-26.277103131602,1686.760261773,1.6925418935057,1976.2318484714,-1303.4593154929
1.54,0.01,-0.016215593042604,1619.2997742966,-6.0066951307447,1838.9994514582,1.1563132522278,1981.9845070852,-1342.5001917595
1.55,0.01,-0.020304445131641,1590.2698927749,-3.9482194245937,1634.2813880051,-4.4102053591605,1920.643177904,-1322.5535559181
1.56,0.01,-0.023628433914363,1722.9529033064,-2.1937120084506,1885.1855851676,-8.525531538278,2007.1525502365,-1378.2799018947
1.57,0.01,-0.026291969171173,1574.5734955929,1.126989159065,1592.3171377716,-12.139940481153,1934.1228405209,-1262.6206906205
1.58,0.01,-0.0280963100681,1805.0652089816,0.58365262579079,1898.8010000622,-12.903148690944,2012.51312841,-1391.7581863928
1.59,0.01,-0.028714575122572,1781.1353338094,3.184644877581,1791.9372523775,-6.5739150402944,1942.8244137071,-1366.5052602145
1.6,0.01,-0.028716003459085,1164.5003896123,5.46947951719,1357.9500726244,6.2710370957994,1986.4533482033,-967.81583477207
1.61,0.01,-0.028099709802103,1704.6639747072,-4.9690779942766,1754.4039365154,3.1750990683515,1948.030301069,1262.8061796731
1.615,0.005,-0.027318525045783,1267.6191882506,-0.76490868413819,1472.9320232767,-5.5783438772789,1992.2253699805,1229.3608589162
1.625,0.01,-0.024252320548084,1663.5645596825,4.9282160857767,1686.7673053545,-6.2192538220901,1965.3211470032,1296.1150535803
1.635,0.01,-0.020540591201066,1959.1095992044,0.2811245851069,1992.8931135192,15.213807777073,2026.5313452608,1400.3113623752
1.645,0.01,-0.015862556643069,1655.0122095676,-3.7364663776191,1671.3834837699,-6.1761987030678,1985.3584155454,1270.3760553946
1.655,0.01,-0.010519466549794,1749.0136356383,3.9958046288132,1782.1234512012,29.949306192395,1960.6487990012,1378.3925609694
1.665,0.01,-0.0047423290522373,1588.5042230331,-14.224489585479,1642.7814101327,-3.239429434797,1996.4246365744,1289.767530174
1.675,0.01,0.0015842997770382,1809.586661169,8.6804830491566,1829.5760285449,-16.72018619888,1968.7578699974,1383.905078666
1.685,0.01,0.0077610201401452,1495.9179317318,-11.913641048392,1745.5715310329,-34.98621692646,1957.8523749535,1278.9175236317
1.695,0.01,0.013912749465343,1660.6799650041,-27.164566987678,1724.6377083882,8.7866889303265,1945.6516620736,1306.6441131161
1.705,0.01,0.019706012976094,1724.999941473,-2.1423994670786,1827.9771141825,-0.6202002464845,1963.0531401761,1379.3499009475
1.715,0.01,0.024976789201445,1628.9202202927,0.22348765073287,1660.5141519427,-10.984375877076,1969.5488048036,1259.8390733928
1.725,0.01,0.029182633904009,1632.5771233693,3.7373520338559,1785.9199503109,-13.85050156076,1967.473809149,1359.6569706155
1.735,0.01,0.03281238126736,1614.5411271383,8.9330574093477,1653.7979490966,23.534246315644,1988.9496633585,1304.023461037
1.745,0.01,0.035093333969055,1912.5469524732,-1.779441622215,1943.9287428963,16.662338365245,1956.999015114,1401.0820788877
1.755,0.01,0.035956637990653,1856.2953335058,4.2695168960365,1715.7771431855,5.2329964390588,1986.3547085919,1304.9653162554
1.765,0.01,0.035958836194669,1060.4663076465,-0.67614386808166,1287.2492580075,-19.053044989237,1953.3959298166,1073.2386606938
1.775,0.01,0.03512773591707,1862.3654266501,0.80536140644886,1869.5878200949,9.2576120554103,1970.4719483533,-1365.3102801655
1.785,0.01,0.032396297140763,1629.1155424836,-0.22635806643571,1794.5700281055,3.3616741236593,1957.6023836064,-1340.4597262771
1.795,0.01,0.027925348696307,1841.3888943466,-7.2778431928654,1818.3247585959,-9.2673275314932,1952.0444412163,-1386.8708153405
1.805,0.01,0.022853280250271,1665.2817944603,-5.1973477802195,1786.1168679068,-41.643705365555,1974.4484061301,-1344.2119498798
1.815,0.01,0.016433898638235,1731.1264225754,-24.192374451139,1661.8682248025,109.88183685397,1992.7252718955,-1237.5856119328
1.825,0.01,0.0094571882116397,1705.6508449895,-6.0271747361971,1816.4750592809,-7.7099954947813,1945.4312862583,-1375.4925902093
1.835,0.01,0.0018105616687387,1684.3597315074,-25.676835769825,1694.4975351215,53.57902116181,2022.3966651214,-1202.2945071758
1.845,0.01,-0.00591786793478,1727.7005436545,-20.244946523091,1881.0616638226,56.884543381551,2032.6745319113,-1355.3181596905
1.855,0.01,-0.0138094207761,1618.4072690385,-14.650805822698,1689.6740623019,46.212634074522,1978.3547031675,-1251.8364582481
1.865,0.01,-0.021310941021314,1807.2142045518,-5.1374569215415,1863.4162424113,88.305749436183,2007.4450604258,-1376.0280325636
1.875,0.01,-0.028238989659714,1577.5245845398,-15.83991460517,1858.6875857743,-8.458315633064,2005.0872144842,-1194.8330321775
1.885,0.01,-0.034364676063703,1787.1133210671,-9.8460265384485,1820.4476266108,14.883923664694,1950.1342793347,-1390.9829588716
1.895,0.01,-0.039340877481959,1538.1952590515,11.330468607576,1865.5722912413,31.277565266083,2028.4356945161,-1178.0340179746
1.905,0.01,-0.043088305405217,1837.5750192748,-6.71862081611,1894.1169040357,-45.931973501035,1956.8054906155,-1396.249064039
1.915,0.01,-0.045259843245651,1665.4173052603,33.546546104072,1654.8261137889,-14.100228816106,2013.0545210675,-1219.9458905579
1.925,0.01,-0.046051173677723,1506.4872990829,4.4681700641862,1549.3167670566,2.1988465068989,1921.5793143867,-1326.0112541
1.935,0.01,-0.04584314676288,1622.7935327482,-2.6692549950833,1716.2713970979,32.671156854359,2013.6378240458,1323.4080325028
1.945,0.01,-0.043739818090985,1700.6955399755,-0.44057940646652,1745.8444640007,-23.106974834239,1925.9520084445,1345.9589173303
1.955,0.01,-0.03919862238231,1899.8169930095,9.5825878794253,1916.6595663043,20.806049539125,1999.9015481273,1391.2270179575
1.965,0.01,-0.033853222052187,1727.5863965594,0.6830482611923,1763.9414414009,14.298564454816,1953.55086555,1344.8333438447
1.975,0.01,-0.026890126662338,1670.6197752958,-15.73906677119,1769.3134535743,-2.818854166558,1994.1585314445,1232.8479919934
1.985,0.01,-0.019047441747232,1705.6798204809,15.012204170909,1715.0506427837,-79.606708960222,1906.2601888005,1352.4211173789
1.995,0.01,-0.010222574475424,1693.7270048008,-10.18384263703,1817.7106862748,-7.7810772669249,2035.9002874311,1284.6210704192
2.005,0.01,-0.0011851237214669,1712.6753891295,4.7270409274261,1726.5217344277,-28.133788332989,1899.2762628705,1364.9678405888
2.015,0.01,0.0081101503005419,1641.6121489612,-0.72016740253074,1770.6061254271,21.892293475648,2020.6761430023,1263.1311360665
2.025,0.01,0.017048633955927,1822.1702114363,17.429975296616,1799.9534441793,-152.79923035147,1914.9833325092,1365.5724500888
2.035,0.01,0.025311626184116,1594.489073866,-72.789542709607,1805.97712668,-49.839795979894,2015.2841059674,1210.0781062526
2.045,0.01,0.032764100260763,1803.6044139754,12.105929452129,1800.1222492068,-55.237032070777,1908.3020905289,1385.3556530653
2.055,0.01,0.038914743237822,1535.1435383608,-14.793264754723,1753.7607579565,10.531378002512,2010.1639229487,1123.1004169852
2.065,0.01,0.043812008913814,1780.7047046039,0.39108586539922,1797.6013184406,-13.443289363246,1885.9437133389,1392.6441471054
2.075,0.01,0.046989005055031,1519.1995557972,4.9895417977645,1580.0343404523,24.594499417672,2042.1403090585,1183.3925049958
2.085,0.01,0.048449786414637,1559.106534459,9.2830827502419,1577.893259921,7.970426952931,1890.9297001006,1330.340272044
2.095,0.01,0.048448354787484,796.96618764572,20.95296750057,1174.8381336317,-16.010013248539,2051.4026596078,451.93232362127
2.105,0.01,0.047369230774045,1746.1534981489,-0.70100144384506,1767.8410582246,-13.103054688411,1868.8008284663,-1347.7847115877
2.115,0.01,0.04356474392489,1806.4700201619,4.2660352801275,1828.9890951408,12.902669415487,2081.1161576098,-1363.0826090378
2.125,0.01,0.038378452232464,1653.7824865665,-21.650496462956,1707.3289970796,49.686394098815,1888.4935875831,-1335.9573633125
2.135,0.01,0.031860184998317,1491.3953545336,-25.382274212321,1736.5475313684,-19.112075062225,2019.2990665226,-1265.1539032271
2.145,0.01,0.02414984778733,1738.2006467085,-11.285650410641,1737.9003533153,120.20828330893,1905.081893572,-1364.1204420413
2.155,0.01,0.015581271247468,1605.0970183693,-8.9807419916583,1735.2330793621,8.7848685388097,2076.6702815001,-1300.729021926
2.165,0.01,0.0065570208452878,1699.6949511249,-22.18346598711,1714.2345438333,155.62314832827,1875.0094223712,-1339.08867516
2.175,0.01,-0.0028368992930102,1657.1188272493,5.9272649263762,1779.1811959816,169.92706833633,2147.4322228141,-1218.5205133491
2.185,0.01,-0.012114979961102,1809.7842602205,-7.4093769803448,1808.54722369,155.76067207825,1894.2839805643,-1367.2461853478
2.195,0.01,-0.020897974831293,1605.5577899241,-36.653940564086,1782.7046209792,-51.497092176266,2055.2378005463,-1260.5326055076
2.205,0.01,-0.029069825138913,1820.268956881,-3.8767016152403,1828.4457723037,39.500474213199,1904.1245731019,-1393.0141042507
2.215,0.01,-0.03615483100873,1600.2398276852,-0.36532401947134,1758.4627370322,24.82398457214,2096.4726622848,-1139.2933307352
2.225,0.01,-0.041872554449382,1724.1604159467,-1.0928078716465,1777.5289229301,-12.064048827835,1859.7588793123,-1392.7991283658
2.235,0.01,-0.04627266174752,1551.400081656,-34.812937163929,1593.0416749427,-65.841961230091,2125.304198094,-1248.752525667
2.24,0.005,-0.047869027910815,1814.6133080329,6.5034476338601,1821.5433792549,-15.304836785135,1845.2034235132,-1400.7729455095
2.25,0.01,-0.04946779552892,1798.160224941,13.560259020317,1848.6170090287,7.7980945694222,2097.8674261461,-1353.3643672019
2.26,0.01,-0.049855011511728,1639.5589146978,-10.444136211545,1720.5380032794,-0.80294522469097,1824.7653823196,-1326.4251853451
2.27,0.01,-0.048743646714197,1730.4025088423,20.10981173526,1780.0005737847,-3.7019795127587,2131.2848033156,1219.2476226011
2.275,0.005,-0.04767814462639,1312.1585642396,-0.12972855770679,1479.954557108,4.0438690662208,1822.7953117813,1240.6180659294
2.285,0.01,-0.043421420388268,1706.9848384583,1.9465889057219,1682.8649531249,-7.9749951609558,2101.3157971853,1242.2985807041
2.295,0.01,-0.037695277133832,1742.2093803341,0.88359937887312,1737.6433753549,-12.820121217022,1835.0054843331,1389.9719998441
2.305,0.01,-0.030851732653822,1605.5333659435,-1.5843714776472,1727.1317641435,26.405638987333,2071.4182088299,1276.7024588435
2.315,0.01,-0.02291570319914,1539.5602814782,-24.282213063664,1585.701253129,-6.2761752986878,1812.7000493835,1323.3857767205
2.325,0.01,-0.014179099665044,1780.2068586584,14.947290233059,1836.4993555186,-53.576348945318,2087.4359025997,1359.7476707699
2.335,0.01,-0.0049278065535226,1645.3315625871,5.1852610075106,1689.724777146,-178.20016921834,1850.2946666274,1289.727613806
2.345,0.01,0.0042530089055918,1764.6761041822,7.2303885751606,1862.5513331637,-17.292196241998,2069.1715288455,1352.2713639558
2.355,0.01,0.013471153441569,1678.9900041985,3.2677732079031,1692.5253334504,-22.465473145041,1887.0765521443,1311.2291297007
2.365,0.01,0.021989919702606,1878.7285031322,16.356946809479,1941.972120135,-75.816524191527,2093.3636284639,1369.4215892905
2.375,0.01,0.029828027296726,1573.8007462963,-29.70555432725,1623.4627352125,-40.327254210554,1833.7363636288,1188.7615255651
2.385,0.01,0.036285072774403,1953.8639769358,6.9293232849931,2019.258260913,-14.088361427962,2097.2852810553,1392.5516726407
2.395,0.01,0.041727833802499,1659.8641640745,9.4983305933953,1664.6185988274,10.344753936616,1841.2943450243,1203.0807121542
2.405,0.01,0.045525346773549,2038.3794949223,11.201839298057,2054.7800725531,40.867429157558,2068.4171008107,1399.6609510304
2.415,0.01,0.047407990480232,1602.6613855162,31.587231159214,1572.0503199523,11.067726638147,1898.5557149095,1300.8585862201
2.425,0.01,0.048039045096895,1803.7264011723,4.5383962992695,1815.4998268891,5.8094516428127,2017.3888874483,1345.9088036309
2.435,0.01,0.047219782521563,1664.0931165646,13.99991310053,1687.0942364904,-6.8317559616094,1920.3153413859,-1176.743604434
2.44,0.005,0.046331569505544,1228.1836439715,-20.760447819292,1370.1286586373,1.4841746720858,2024.874406591,-1094.6042700633
2.45,0.01,0.042082547719939,1349.6318478247,31.528581592448,1472.6174988232,14.806085346575,1927.176672056,-1120.0918474918
2.455,0.005,0.039573175030068,1971.6005201379,-21.195471764556,1969.667439898,2.4956063698246,2016.7454774388,-1398.8514273973
2.465,0.01,0.033873480875187,1563.45945799,6.1160854465528,1592.9226887713,4.6856595119449,1928.1484308955,-1296.823243823
2.475,0.01,0.02623667963102,1850.1761064898,-8.2818173355713,1810.1350478575,-14.496809744876,1950.4314366629,-1368.931584276
2.4775,0.0025,0.024317015166245,1282.4248122766,-13.977306122242,1572.1867770768,-25.944970443399,1918.1043685444,-1243.3374359974
2.4825,0.005,0.020289354276708,1834.8215525194,0.061223196008978,1861.7375795363,-26.198493875937,2023.89804143,-1364.221369982
2.4925,0.01,0.011375524293572,1474.2597963143,-82.359017429091,1668.7950347792,116.35178340477,1962.3367717767,-1106.4423797315
