index,sample_0,sample_1,sample_2,results:PeakAcc:value,results:PeakDisp:value,results:PeakPressure:value,results:PeakWaveHeight:value
1,4.820940643,19.52651593,456.9775968,0.288293753,2.22E-05,5.73E-07,0.000346468
2,5.525920413,27.21622114,484.6729305,0.32303166,0.000329058,6.81E-07,0.00051358
3,4.512228953,18.29289907,452.6688836,0.328890479,1.66E-06,6.53E-07,0.0004375
4,4.970311254,20.2370569,544.7727729,0.220822959,6.10E-05,4.34E-07,0.00040894
5,2.861535646,30.81101946,430.3196617,0.006495888,7.54E-06,1.30E-08,4.42E-06
6,4.299911847,25.22778898,509.0855675,0.094979235,5.76E-05,1.91E-07,0.000123533
7,5.491481573,23.00207071,415.2142063,0.409387044,0.000484888,8.67E-07,0.002025528
8,2.767710655,28.43201606,390.4275672,0.005994866,8.87E-08,1.13E-08,2.26E-06
9,3.978694597,30.54747797,328.2412818,0.090861136,3.84E-05,1.79E-07,4.10E-05
10,2.634604186,29.55869513,420.5556708,0.005354361,4.66E-06,1.06E-08,1.67E-06
11,2.260856883,24.20902437,503.8871658,0.003044414,1.19E-07,6.37E-09,8.63E-07
12,4.202060445,33.94557193,515.3707119,0.049561484,3.36E-06,9.76E-08,3.33E-05
13,3.148220095,20.28568673,573.7112014,0.024923941,1.65E-05,4.95E-08,1.01E-05
14,4.25754165,22.5264606,535.4852741,0.057100407,2.61E-07,1.17E-07,0.00012614
15,3.825525287,28.38408538,429.3999044,0.031203663,1.48E-06,6.10E-08,2.47E-05
16,3.619577431,28.22003083,577.8080249,0.036055413,2.76E-07,7.26E-08,1.77E-05
17,3.540572748,28.84143928,443.179702,0.016030813,8.73E-07,3.55E-08,1.88E-05
18,2.359954025,27.6841751,466.1642406,0.002442814,7.51E-08,4.98E-09,1.30E-06
19,3.641515588,33.67452779,582.7775188,0.009841715,6.06E-07,1.88E-08,1.66E-05
20,2.666043838,28.92489036,608.8950976,0.003626605,9.20E-07,7.27E-09,1.87E-06